Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment
Identity or token does not match when relogin,FAB-2,12300,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,,zuowang,zuowang,8/4/2016 2:25,8/6/2016 14:05,4/26/2018 6:50,8/6/2016 14:04,,,,,,0,,,,"1. login bob
curl -X POST --header ""Content-Type: application/x-www-form-urlencoded"" --header ""Accept: application/json"" -d '{  ""enrollId"": ""bob"",  ""enrollSecret"": ""NOE63pEQbL25"" }' ""http://localhost:7050/registrar""
{""OK"":""Login successful for user 'bob'.""}
2. logout bob
curl -X DELETE --header 'Accept: application/json' 'http://localhost:7050/registrar/bob'
{""OK"":""Deleted login token and directory for user bob.""}
3. relogin bob
curl -X POST --header ""Content-Type: application/x-www-form-urlencoded"" --header ""Accept: application/json"" -d '{  ""enrollId"": ""bob"",  ""enrollSecret"": ""NOE63pEQbL25"" }' ""http://localhost:7050/registrar""
{""Error"":""rpc error: code = 2 desc = \""Identity or token does not match.\""""}
",,,,,,,,,,,0|i00dvj:,,,mastersingh24,zuowang,,,,,,,,,"06/Aug/16 2:04 PM;mastersingh24;This is actually working as designed.  When you use the REST API to login, what happens is that whichever peer's REST endpoint you are using enrolls with membership services on your behalf (which basically means it registers and downloads all of your enrollment material).  The enrollSecret used for login is actually a one-time password so once you login / enroll one time, you will no longer be able to use that enrollSecret again.

When you logout using the REST API, essentially all that is happening is that your enrollment material is being deleted from that peer (so it is not really a logout in the classic sense).

This stems from the original thought that people would use NVPs as local ""virtual wallets"" to connect to remote fabric nodes.  But the reality is that this is not the strategy going forward and that is what led to the NodeJS SDK which actually does enroll and download your material from mebership services and will allow you to communicate with all peers using that ID not just a single peer like the REST API.",,,,,,
Failed registration leaves the internal data structure in an inconsistent state,FAB-68,12367,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,agaragiola,smithbk,smithbk,8/12/2016 22:11,4/2/2017 12:21,4/26/2018 6:50,4/2/2017 12:21,v0.6,WON'T FIX,,fabric-membersrvc,,0,MembershipServices,,,See https://github.com/hyperledger-archives/fabric/issues/2183,,,,,,,,,,,0|i00e3f:,,,ChristopherFerris,mastersingh24,smithbk,,,,,,,,"05/Sep/16 8:58 PM;ChristopherFerris;Description

When a registration fails the internal data structure are left in an inconsistent state at the client and at the membership service side. For instance, trying to register the second time with the same credentials will succeed by saying that the node has been already registered.

Describe How to Reproduce

The following test try to register a client with an enrollID that correspond to a validator at the membership service. The first call fails as expected but second doesn't. The client is in an inconsistent state.

func TestDoubleRegistrationWithDifferentRoles(t * testing.T) {
    err := RegisterClient(""validator"", nil, ""validator"", ""9gvZQRwhUq9q"")
    if err == nil {
        t.Fatal(""Init should fail"")
    }

    err = RegisterClient(""validator"", nil, ""validator"", ""9gvZQRwhUq9q"")
    if err == nil {
        t.Fatal(""Init should fail"")
    }
}
The following test try to register a client with an enrollID that correspond to a validator at the membership service. The first call fails as expected but second should succeed. The membership service is in an inconsistent state.

func TestDoubleRegistration(t * testing.T) {
    // Wrong type
    err := RegisterClient(""validator"", nil, ""validator"", ""9gvZQRwhUq9q"")
    if err == nil {
        t.Fatalf(""RegisterValidator should fail"")
    }

    // Right type
    err = RegisterValidator(""validator"", nil, ""validator"", ""9gvZQRwhUq9q"")
    if err != nil {
        t.Fatalf(""RegisterValidator should succed [%s]"", err)
    }
}
Actually, the above test is really subtle because the failure of the first RegisterClient happens at very end of the protocol when the RegisterClient parses the latest message sent by the MS. So, from the MS point of view, the protocol has been successfully run. One solution would be then to modify to registration protocol to notify immediately the MS about which kind of registration the client is trying to do. Other solutions are possible. @JonathanLevi what do you think?",02/Apr/17 12:21 PM;mastersingh24;There is no longer active development on v0.6 so closing this,,,,,
Unable to Enroll user after being unEnrolled - ECA.db user state need to be reset,FAB-69,12368,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,,smithbk,smithbk,8/12/2016 22:53,11/5/2016 11:25,4/26/2018 6:50,11/5/2016 11:25,v0.6,,,,,0,MembershipServices,,,See https://github.com/hyperledger-archives/fabric/issues/1620,,,,,,,,,,,0|i00e33:,,,ChristopherFerris,mastersingh24,smithbk,,,,,,,,"05/Sep/16 8:59 PM;ChristopherFerris;When un-enrolling a User using REST API:
DELETE host:port/resgistrar/{enrollmentID}

and trying to re-enroll it using the new enrollSecret (fetched from the eca.db ,table :Users)
i get the following failure notification:
certificate creation token expired

Upon investigation is seems that the ""state"" field in the ""Users"" table is not being reset to 0.

",05/Nov/16 11:25 AM;mastersingh24;duplicate of FAB-71,,,,,
Unable to Enroll user after being unEnrolled - ECA.db user state need to be reset ,FAB-71,12370,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,gromeroar,smithbk,smithbk,8/13/2016 0:34,4/2/2017 12:23,4/26/2018 6:50,4/2/2017 12:23,v0.6,,,fabric-membersrvc,,0,MembershipServices,,,"See https://github.com/hyperledger/fabric/issues/1620

How is this different from ecert revocation?",,,,,,,,,,,0|i00e3j:,,,mastersingh24,smithbk,,,,,,,,,"02/Apr/17 12:23 PM;mastersingh24;Marking this as WON'T FIX as we have moved to fabric-ca.
It should be noted that fabric-ca supports multiple enrollments, re-enroll and revoke",,,,,,
"calls to StoreState, which returns error are ignoring error",FAB-178,12478,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,ChristopherFerris,ChristopherFerris,ChristopherFerris,8/19/2016 12:12,5/31/2017 13:58,4/26/2018 6:50,8/23/2016 14:15,,,,fabric-orderer,8/19/2016 0:00,0,consensus,ledger,,"eg consensus/pbft/pbft-persist.go line 70

func (instance *pbftCore) persistRequestBatch(digest string) {
	reqBatch := instance.reqBatchStore[digest]
	reqBatchPacked, err := proto.Marshal(reqBatch)
	if err != nil {
		logger.Warningf(""Replica %d could not persist request batch %s: %s"", instance.id, digest, err)
		return
	}
	instance.consumer.StoreState(""reqBatch.""+digest, reqBatchPacked)
}

should be:

func (instance *pbftCore) persistRequestBatch(digest string) {
	reqBatch := instance.reqBatchStore[digest]
	reqBatchPacked, err := proto.Marshal(reqBatch)
	if err != nil {
		logger.Warningf(""Replica %d could not persist request batch %s: %s"", instance.id, digest, err)
		return
	}
	err = instance.consumer.StoreState(""reqBatch.""+digest, reqBatchPacked)
        if err != nil {
		logger.Warningf(""Replica %d could not persist request batch %s: %s"", instance.id, digest, err)
        }
}
",,3600,3600,,0%,3600,3600,,,,0|i00epr:,,,ChristopherFerris,,,,,,feature/ca,feature/convergence,master,TRUE,19/Aug/16 2:13 PM;ChristopherFerris;https://gerrit.hyperledger.org/r/#/c/583/,,,,,,
`make checks` bug,FAB-393,12694,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,ChristopherFerris,warm3snow,warm3snow,9/14/2016 6:17,9/23/2016 23:58,4/26/2018 6:50,9/23/2016 23:58,,v0.6,,fabric-devenv,,0,build-system,getting-started,Usability,"$ make checks

cd gotools && make
make[1]: Entering directory '/home/opt/gopath/src/github.com/hyperledger/fabric/gotools'
Makefile:31: *** target pattern contains no '%'.  Stop.
make[1]: Leaving directory '/home/opt/gopath/src/github.com/hyperledger/fabric/gotools'
Makefile:80: recipe for target 'gotools' failed
make: *** [gotools] Error 2
",,28800,28800,,0%,28800,28800,,,,0|hzzzyh:,,Sprint 2,ChristopherFerris,warm3snow,,,,,,,,,23/Sep/16 11:57 PM;ChristopherFerris;cannot recreate - possibly transient error or fixed elsewhere.,,,,,,
Docker-based documentation fails to mention golang requirement,FAB-424,12725,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,ChristopherFerris,greg.haskins,greg.haskins,9/22/2016 16:02,11/23/2016 15:41,4/26/2018 6:50,11/23/2016 15:41,,,,fabric-peer,,0,Documentation,,,"The workflow described here

http://hyperledger-fabric.readthedocs.io/en/latest/Setup/Chaincode-setup/

neglects to mention that golang 1.6 is a prerequisite when following a docker-based workflow.

Thanks to @ant2221 via slack",,3600,3600,,0%,3600,3600,,,,0|i00dx3:d,,,ChristopherFerris,greg.haskins,,,,,,,,,23/Nov/16 3:41 PM;ChristopherFerris;this has moved to http://hyperledger-fabric.readthedocs.io/en/latest/dev-setup/devenv/ and is resolved,,,,,,
[explorer] Instructions for installing are shown without new lines,FAB-431,12732,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,ccooper21,ccooper21,ccooper21,9/23/2016 17:24,4/16/2017 15:57,4/26/2018 6:50,4/16/2017 15:57,,v1.0.0,,fabric-docs,,0,explorer,,,"The instructions for installing the Hyperledger Explorer are shown without new lines on the GitHub replica due the wrong markdown being used.  This is specifically in regard to the ""/explorer_1/README.md"" file.",,,,,,,,,,,0|hzzzza:c,,,ccooper21,,,,,,master,,,TRUE,"23/Sep/16 8:38 PM;ccooper21;The fix for this issue has been committed to the ""blockchain-explorer"" repository and the corresponding change can be viewed here:

http://gerrit.hyperledger.org/r/1219",,,,,,
A fmt.errorf change in accesscontrol package,FAB-1458,13867,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,grapebaba,grapebaba,grapebaba,12/21/2016 7:42,1/4/2017 18:20,4/26/2018 6:50,12/22/2016 7:54,,v1.0.0,,fabric-crypto,,0,,,,"fmt.Errorf(""Invalid hash algorithm "" + primitives.GetHashAlgorithm()) change to fmt.Errorf(""Invalid hash algorithm %s"", primitives.GetHashAlgorithm())",,1800,1800,,0%,1800,1800,,,,0|i00lbl:,,,grapebaba,,,,,,master,,,TRUE,,,,,,,
Example02 BalanceResult protobuf encode/decode crash,FAB-2040,14543,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Lowest,,greg.haskins,greg.haskins,greg.haskins,2/4/2017 14:05,3/16/2018 16:47,4/26/2018 6:50,,,v1.2,,fabric-chaintool,,0,,,,"h1. Issue

Creating an account with a balance of 0, by init or by transaction, results in a crash when attempting to query the balance.

```
$ node ./out/example02.js -c deploy -n org.hyperledger.chaincode.example02 --port 5000 --args '{""partyA"":{""entity"":""a"", ""value"":100}, ""partyB"":{""entity"":""b"", ""value"":0}}'
Running deploy({""partyA"":{""entity"":""a"",""value"":100},""partyB"":{""entity"":""b"",""value"":0}})
HTTP POST: http://localhost:5000 - {""jsonrpc"":""2.0"",""method"":""deploy"",""params"":{""type"":3,""chaincodeID"":{""name"":""org.hyperledger.chaincode.example02""},""ctorMsg"":{""function"":""init"",""args"":[""CgUKAWEQZBIDCgFi""]}},""id"":""1""}
Response: {:result {:status OK, :message org.hyperledger.chaincode.example02}}
$ node ./out/example02.js -n org.hyperledger.chaincode.example02 --port 5000 -c check-balance --args '{""id"":""b""}'
Running check-balance({""id"":""b""})
HTTP POST: http://localhost:5000 - {""jsonrpc"":""2.0"",""method"":""query"",""params"":{""type"":3,""chaincodeID"":{""name"":""org.hyperledger.chaincode.example02""},""ctorMsg"":{""function"":""org.hyperledger.chaincode.example02/query/1"",""args"":[""CgFi""]}},""id"":""1""}

/LSEG/chaintool/examples/example02/client/rest/cljs/node_modules/protobufjs/node_modules/bytebuffer/dist/bytebuffer-node.js:346
            throw TypeError(""Illegal buffer"");
                  ^
TypeError: Illegal buffer
    at TypeError (native)
    at Function.module.exports.ByteBuffer.wrap (/LSEG/chaintool/examples/example02/client/rest/cljs/node_modules/protobufjs/node_modules/bytebuffer/dist/bytebuffer-node.js:346:19)
    at Function.Message.decode (/LSEG/chaintool/examples/example02/client/rest/cljs/node_modules/protobufjs/dist/protobuf.js:2930:84)
    at Message.decode64 (/LSEG/chaintool/examples/example02/client/rest/cljs/node_modules/protobufjs/dist/protobuf.js:2986:36)
    at /LSEG/chaintool/examples/example02/client/rest/cljs/out/example02/core.cljs:40:69
    at IncomingMessage.<anonymous> (/LSEG/chaintool/examples/example02/client/rest/cljs/out/example02/rpc.cljs:13:25)
    at IncomingMessage.emit (events.js:107:17)
    at IncomingMessage.Readable.read (_stream_readable.js:373:10)
    at flow (_stream_readable.js:750:26)
    at resume_ (_stream_readable.js:730:3)
```
h1. Discussion:

About the 0 balance issue @jranz303 found, it seems to be a base64 encoding/decoding issue. When I try to initialize with a zero balance, for example: `{""partyA"":{""entity"":""a"", ""value"":100}, ""partyB"":{""entity"":""b"", ""value"":0}}`, the base64 encoded args are: `CgUKAWEQZBIDCgFi` When I decode that, I get something like:

```

ad
b
```

The d corresponds to ASCII value 100, which seems like an odd way to encode it but that’s what appears to be happening. ASCII 0 is NULL, so I think what’s happening is on decoding, ByteBuffer is hitting this line for account b’s amount:

```
if (buffer === null || typeof buffer !== 'object')
            throw TypeError(""Illegal buffer”);
```

---

interesting
what should be happening is a clean pipeline from protobuf->binary->base64 and back out again
my guess is protobuf elided the entire message structure when the value of zero was presented
what was the base64 in the case of 0?

---

I’m not exactly sure.
Args: `{""partyA"":{""entity"":""a"", ""value"":100}}`
Base64: `CgUKAWEQZA==`

Args: `{""partyA"":{""entity"":""a"", ""value"":0}}`
Base64: `CgMKAWE=`

---

my guess is whats happening here is something along the lines of `protobuf.encode(BalanceResult{0]).len == 0` and `base64(null) -> decode64` breaks somewhere
",,,,,,,,,,,0|i00os9:,,,andrasfe,greg.haskins,,,,,,,,,,,,,,,
Incorrect spelling and typos,FAB-2528,15095,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,murrekatt,murrekatt,murrekatt,2/28/2017 12:42,4/23/2017 12:50,4/26/2018 6:50,4/23/2017 12:50,,v1.0.0,,fabric-docs,,0,,,,,,,,,,,,,,,0|i00rm1:,,,ChristopherFerris,murrekatt,,,,,master,,,TRUE,12/Apr/17 5:57 PM;ChristopherFerris;Any details would be welcomed. Are you still planning on submitting a fix(es)? [~murrekatt],,,,,,
Remove peer/util/util.go,FAB-2594,15161,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,C0rWin,C0rWin,C0rWin,3/2/2017 13:17,3/2/2017 17:35,4/26/2018 6:50,3/2/2017 17:35,,,,,,0,,,,"There is a package *peer/util/util.go* with not used functionality, the function:

{code}
func GetCliFilePath() string {
	localStore := viper.GetString(""peer.fileSystemPath"")
	if !strings.HasSuffix(localStore, ""/"") {
		localStore = localStore + ""/""
	}
	localStore = localStore + ""client/""
	return localStore
}
{code}

is never used in the project and this is the only function in the file. Since this is an obsolete the file need to be removed.",,,,,,,,,,,0|i00s09:,,Sprint 13 - Gossip,C0rWin,,,,,,master,,,TRUE,,,,,,,
"placeholder for viper bug when decoding a slice, but currently working around this",FAB-3159,15746,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,mastersingh24,smithbk,smithbk,4/14/2017 14:56,12/19/2017 11:13,4/26/2018 6:50,12/19/2017 11:13,v1.0.0-alpha1,v1.1,,fabric-ca,,0,,,,"This is a placeholder for viper bug https://github.com/spf13/viper/issues/327.
fabric-ca currently has a workaround for this, but once the viper bug is fixed and viper is revendored in fabric-ca, then search the fabric-ca source for the string ""viperIssue327WorkAround"" and remove the work around code.",,,,,,,,,,,0|i00v9h:,,,mastersingh24,smithbk,,,,,master,,,TRUE,"25/May/17 4:59 PM;smithbk;Moving to v1.1.  It is a place holder to reference a viper issue for which there is a fix but is not yet merged.   We have worked around this issue, so no one will see a problem.",18/Dec/17 10:16 AM;mastersingh24;https://gerrit.hyperledger.org/r/16289,,,,,
"Note in Getting Started doc incorrectly specifies ""peer2"" as anchor peer in configtx.yaml",FAB-3439,16034,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Lowest,Done,,sanjay-saxena,sanjay-saxena,4/27/2017 6:08,5/23/2017 20:22,4/26/2018 6:50,5/23/2017 20:22,v1.0.0-alpha1,v1.0.0,,fabric-docs,,0,,,,"In http://hyperledger-fabric.readthedocs.io/en/latest/getting_startedv2.html, a Note in the {{Using the configtxgen tool}} section looks as shown below:

{panel:title=Note}
The configtx.yaml file contains the definitions for our sample network and presents the topology of the network components - three members (OrdererOrg, Org0 & Org1), and the anchor peers for each PeerOrg (peer0 and peer2). ....
{panel}

However, {{configtx.yaml}} does *not* contain any reference to *peer2*.",,,,,,,,,,,0|i00wvh:,,,ChristopherFerris,nickgaski,raheelz,sanjay-saxena,,,master,,,TRUE,27/Apr/17 4:29 PM;nickgaski;good catch.  the anchor peers are peer0.Org1 and peer0.Org2,"27/Apr/17 5:53 PM;ChristopherFerris;[~nickgaski]  , can we please fix this so that others don't hit? Unclear why you lowered the priority. I was the one made it high;-)",27/Apr/17 6:33 PM;nickgaski;addressed here https://gerrit.hyperledger.org/r/#/c/8591/,"27/Apr/17 7:22 PM;sanjay-saxena;It would be good if the numbering scheme(0-based or 1-based) between the peers and the orgs is consistent. For example, *peer0* {{-->}} *Org0*, *Org1*. Or, *peer1* {{->}} *Org1*, *Org2*.",,,
